id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgxjTN_iwbePG1-YE3F4AaABAg,0,0,"2025-06-03 18:26:09",@joyyiu,"Hihi! I’ve been using Perfect Whip Collagen for years but realized it hasn’t been doing much to my skin. My skin is super oily and sometimes I’m left with my skin still feeling oily (not soft/smooth). Are there any Korean cleaners you would recommend? I tend to stay away from cleansing oils! TY <3",UCjjyN0FJW76qHVPC0R7sTDA,http://www.youtube.com/@joyyiu,0,,
UgwwRpFBu38cYv0BYat4AaABAg,0,0,"2025-05-23 19:09:40",@beautyworgu941,"How can I get a skin care from corea, am in Nigeria",UCKv96jxkiOvWGyOKpfzSdng,http://www.youtube.com/@beautyworgu941,0,,
UgxZzimHV361Q2iSaQd4AaABAg,0,0,"2025-05-23 05:49:22",@luxury-Diver,"Spotted Australian enounciation.",UCn7OpMELX7FD0kZBdRgI5pQ,http://www.youtube.com/@luxury-Diver,0,,
Ugyxoa539SgE0pOKnoV4AaABAg,0,0,"2025-05-15 05:30:29",@Taksamajoah,"What about regular moisturizers?",UC53tpkVk270tT4q5rR7H96Q,http://www.youtube.com/@Taksamajoah,0,,
Ugw06r5_D_vQVxfT0ep4AaABAg,0,0,"2025-05-13 17:00:49",@kashiko2486,"I need to go there and spend my PLN'y xD",UC2CprCjPPmzf7CQvYou-FPw,http://www.youtube.com/@kashiko2486,0,,
UgxO7ZWwE82YmKUO5Jl4AaABAg,0,0,"2025-05-12 00:19:50",@6j1ha,"Thank you so much. I’ve added so much to my wish list.",UCBhVHqne5QF2h49tWAzKCHw,http://www.youtube.com/@6j1ha,0,,
Ugx2ImVAWR1anc5NEOR4AaABAg,0,0,"2025-05-08 01:57:53",@akaashikeijistan,"I am half korean and go to korea every summer! Since i did not have any acne before because i was very young, i did not need skincare but we recently went to the three story olive young! This helped a lot thank you❤",UCUn_AjSOS-wvDDv3nY3-oUQ,http://www.youtube.com/@akaashikeijistan,0,,
UgyI3sEq9Y3re0kTpxR4AaABAg,0,0,"2025-05-03 18:18:03",@niluferbb815,"I love hearing GD Power power 🎉❤",UCylwraSUNZkt0Re10b0RQkg,http://www.youtube.com/@niluferbb815,0,,
UgyoTW1yGoiE2-OZfr94AaABAg,0,0,"2025-04-30 16:15:46",@ZahraaAlzarjawee,"How about kundal shampoo? Is it good too",UCxJmati_MUPHgg0xVlSZ0WQ,http://www.youtube.com/@ZahraaAlzarjawee,0,,
Ugz3eOoIdt9U2jLDZFJ4AaABAg,0,0,"2025-04-24 08:57:47",@orgasmetavie,"Someone has the brand of the treatment for itchy hair please :) ?",UCvyETUJW1alb-0Ez7kfjiQQ,http://www.youtube.com/@orgasmetavie,0,,
