id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgwDNw8WO9lTSqZkqit4AaABAg,0,0,"2025-05-02 08:19:16",@JyotiShivShakti,"I ❤Korean Skincare products",UCr3sIHjoo8nlD5LpU6JPpcw,http://www.youtube.com/@JyotiShivShakti,0,,
UgwVLq_JXyNNaRtMqpN4AaABAg,1,0,"2025-04-28 01:37:22",@maryneedham419,"Thank you so much for this you helped me decide to try a ton of these products I'm definitely getting that Haru Haru Wonder black rice cleanser and the numbuzzin sunscreen and definitel going to try the Purito sunscreen and eventually the haru haru Wonder sunscreen I definitely want to try a ot of the different products from Haru Haru Wonder and the Purito and Numbuzzin brands also more k beauty and some j beauty as long as the products are drying alcohol free and also contain Jo mushrooms walnuts or any type of mold as I'm highly allergic and don't contain high percentages of tea tree as it's a bot irritating on my skin plus I have Rabbits and they're super affectionate and Tea Tree is really toxic to them so I prefer to not use tea tree in leave in skin and hair products especially since one of my rabbits loves giving me kisses and tries to give me hair cuts lol she's very affectionate her sister on the other hand almost never gives kisses she's still very affectionate and sweet in her own way though",UCY6sAWulfK22dXJSyul62_w,http://www.youtube.com/@maryneedham419,0,,
UgwVLq_JXyNNaRtMqpN4AaABAg.AHRiRdI4c-sAHRkZiXFHh0,,0,"2025-04-28 01:55:57",@maryneedham419,"My Favorite sunscreen so far I'd the Scininc enjoy mild sun essence spf 50+PA ++++ and the abib Airy sunstick spf 50+pa++++ and the Face Republic Purity sun essence spf 50+pa++++ I'm still looking for something a bit more hydrating and glowy that's also soothing and more water resistant reef safe drying alcohol free sunscreens that are at least spf 45+ as I'm super pale and have extremely dry acne prone sensitive skin plus I have rocasea eczema and psoriasis along with tons of allergies and sensitivities my once holy grail sunscreens were Hawaiian Tropics Silk Hydration and Everyday active and Sunbum Fragrance free face and Sunbum body spf 50- 70 but just this year my skin no longer likes them I broke out instantly and my skin has gotten extra dry sensitive and has been burning for over a month and every time my skin reacts negatively to a skin care products my skin purges and is so inflamed and it takes longer and longer to recover I'm so grateful to of found the 3 Korean sunscreens I found they've been extremely soothing and have helped my skin so much but ky other usual doing care products aren't really doing anything to help sooth my skin but they're definitely not making it worse and sadly before I reacted negatively to the sunscreen my skin was getting so clear and I was getting so many compliments but currently my skin is still feeling so irritated and inflamed dry and just sore looks horrible imo I'm so self conscious and it's hit my self esteem so much hopefully once I can get more skin care products and start taking even better care of my skin ky self esteem will improve but luckily I have the most amazing supportive boyfriend ever who even when I feel like a complete mess between my skin flauring up my mental health being bad and recovering from a severe injury he still randomly tells me how beautiful I am yet lately I haven't felt beautiful but thank you again for this awesome helpful video",UCY6sAWulfK22dXJSyul62_w,http://www.youtube.com/@maryneedham419,1,UgwVLq_JXyNNaRtMqpN4AaABAg,@maryneedham419
UgzXNjmHV7fWw1aGIx54AaABAg,0,0,"2025-04-20 17:24:00",@OdetteCas,"Anyone here suffer from bad acne ?",UCd0iE8KkiGKZS3IT77uM6lQ,http://www.youtube.com/@OdetteCas,0,,
UgxrlzSGfCAvPfaG0lx4AaABAg,0,0,"2025-04-13 21:14:48",@bet5275,"As a dermatologist, you should talk about the ingredients. Are they all chemical sunscreens? Any combination sunscreens?",UCOx8d5WHyiEWWwemYFA3tNA,http://www.youtube.com/@bet5275,0,,
Ugx4ycMD9NI27DVreEx4AaABAg,2,1,"2025-04-07 20:35:46",@PHSGirl1989,"At 54, I'm loving the Haruharu Wonder Black Rice Probiotic Essence. It is by far the best hydrating essence I've ever used.",UCWv62XcC_j4E_OwPUkTi98Q,http://www.youtube.com/@PHSGirl1989,0,,
Ugx4ycMD9NI27DVreEx4AaABAg.AGcg18csCIiAHRj-TH8SvU,,0,"2025-04-28 01:42:15",@maryneedham419,"I definitely need to try this I'm 31 and my skin is getting more and more dry and sensitive and I've heard so many good things about this brand plus I reached out asking a question to there Amazon page and the responded in less then 24 hours I was shocked since I was asking a question if it contained any forms of mold or mushrooms in the ingredients since I'm highly allergic to molds and mushrooms and also Walnuts and I heard from some other you tuber that it contained a fermented mold and that scared me but they reached out with the entire ingredients list and said the products don't contain any molds or mushrooms and said I could feel to reach out any time if I have any other questions talk about amazing and thoughtful customer service I'm highly impressed",UCY6sAWulfK22dXJSyul62_w,http://www.youtube.com/@maryneedham419,1,Ugx4ycMD9NI27DVreEx4AaABAg,@PHSGirl1989
Ugx4ycMD9NI27DVreEx4AaABAg.AGcg18csCIiAHSbJLQghJW,,0,"2025-04-28 09:54:19",@PHSGirl1989,"​@@maryneedham419that's amazing! I top am allergic to molds. So glad you brought that up. Thanks.",UCWv62XcC_j4E_OwPUkTi98Q,http://www.youtube.com/@PHSGirl1989,1,Ugx4ycMD9NI27DVreEx4AaABAg,@PHSGirl1989
UgxZ_tbQvcw6TiIXxf94AaABAg,0,0,"2025-04-03 19:03:19",@lauramiller6932,"I’m 59, have rosecea flareups, dry/combo skin, post menopausal, fine lines, wrinkles and fair complexion. I want a Korean skincare regimen for day & night. Don’t want to look oily though. Please help!! 😕",UCXWp2dcG1AjnZfFMSyEKmdA,http://www.youtube.com/@lauramiller6932,0,,
UgyeEXv7dsBhQ7JzWMB4AaABAg,2,0,"2025-03-26 17:11:49",@aliciajoyce7170,"Question, Dr Ellis - would you use the Numbuzin no. 5 serum along with your prequel vitamin c? I'm currently using your product and was wondering if this would compliment it or be too much. Thanks!",UCjAD_fjkTjWnXBiDU93-74Q,http://www.youtube.com/@aliciajoyce7170,0,,
UgyeEXv7dsBhQ7JzWMB4AaABAg.AG8Q8vlK0fnAG8SoBG7XT6,,1,"2025-03-26 17:35:04",@DrSamEllis,"@@aliciajoyce7170 totally! They work great together",UCRi13TUqA_SawPlPOG6jz1Q,http://www.youtube.com/@DrSamEllis,1,UgyeEXv7dsBhQ7JzWMB4AaABAg,@aliciajoyce7170
UgyeEXv7dsBhQ7JzWMB4AaABAg.AG8Q8vlK0fnAG8TD7GdSJW,,0,"2025-03-26 17:38:36",@aliciajoyce7170,"@DrSamEllis  awesome. Thanks!",UCjAD_fjkTjWnXBiDU93-74Q,http://www.youtube.com/@aliciajoyce7170,1,UgyeEXv7dsBhQ7JzWMB4AaABAg,@aliciajoyce7170
Ugwzbs7cmoFqeZ91Pqx4AaABAg,0,0,"2025-03-21 21:45:19",@janab1532,"Hi Dr Sam! Is the Numbuzin no 5 serum ok to use during pregnancy? Thanks",UCfBw5LgZrHsTiDmVTAVs5pg,http://www.youtube.com/@janab1532,0,,
UgwJ0CCzn0s4spbua-N4AaABAg,0,0,"2025-03-19 05:08:42",@bernadettecamacho8451,"Hi thanks for your informative content! What about the VT retinol a reedle shot or the pdrm?",UCf3q7zq4AHO96ATYzf7nZmA,http://www.youtube.com/@bernadettecamacho8451,0,,
UgxlCEMp1W_sMt525DN4AaABAg,1,0,"2025-03-18 17:12:08",@NaomiKay-h3e,"Hi, I have a question. I live in Canada and have placed an order through Stylevana. They are asking for verification of my order with a valid government issued document, e.g. Drivers License, passport etc. Also address proof with a bank statement or utility bill. I did order through Stylevana Canada. Maybe this is a scam website? Any feedback would be much appreciated:)",UC9eO0_o2J0vHIC4NgTotCkQ,http://www.youtube.com/@NaomiKay-h3e,0,,
UgxlCEMp1W_sMt525DN4AaABAg.AFoopA_BoTEAGqPCBqslSd,,0,"2025-04-13 04:29:21",@auburnandgrey4457,Scam,UCgrXOJpn7gIVIK3y5I9crTA,http://www.youtube.com/@auburnandgrey4457,1,UgxlCEMp1W_sMt525DN4AaABAg,@NaomiKay-h3e
UgzRizAq96fWlNT1brF4AaABAg,0,0,"2025-03-02 17:49:03",@Barbi3Princess,"Yes, LOVE seeing your favorites!! I’ve just begun my Korean skincare journey and my skin hasn’t been this great in a while. With the results, I’m already experiencing. I am a devotee 😊 LOVE haruharu, I use their probiotic milk essence and black rice, hyaluronic toner. OBSESSED. And Medicube, I’m From, TirTir and more to come 🙂 And as far as SPFs I use the organic Coola’s hyaluronic hydrating plumping SPF 30+ with a blue light filter and it is amazing. It’s moisturizer doesn’t leave any kind of a cast. You would never know that it’s an SPF. AMAZING. Very hydrating",UCd839xZ5GsiANqjb518qWpQ,http://www.youtube.com/@Barbi3Princess,0,,
Ugyx_RVia2PJtaRl2op4AaABAg,0,0,"2025-03-02 15:34:17",@loraalexander6370,"I like these videos. You do a great job. Thanks",UC2jF4I94PhTCgDlteE2-4uQ,http://www.youtube.com/@loraalexander6370,0,,
UgxW2KWvUeiYff5ZPqV4AaABAg,0,0,"2025-03-02 04:36:34",@1jesuslovesu2,"Thank you, Dr. Ellis, for this very helpful and informative video. Will you PLEASE provide a video with skin and foundation products that DO NOT contain hyaluronic acid. It is very much needed and will be very much appreciated! God bless everyone!",UCaa0mift5csi4rmXxn2VL2w,http://www.youtube.com/@1jesuslovesu2,0,,
Ugx8JFGihRpp58QrTsx4AaABAg,0,0,"2025-02-28 03:17:28",@olaola6328,"You know well that the Korean sunscreens have very low Pa compared to European sunscreens and rarely over 20 in pa, however, numbuzin - No.1 Clear Filter Sun Essence SPF 50+ PA ++++ - is an exception as it is over 21 in pa. but it cannot be compared with the European sunscreens such as the Danish brand p20 Sensitive face which has 50 pa and lasts for 10 hours. Korean sunscreens are good to wear in the winter or to and from work, while the European ones should be worn in the summer when you will be outside for longer periods such as a day at the beach.",UCMX74jfDkzpbpddI8Ohjm6w,http://www.youtube.com/@olaola6328,0,,
UgxLXbQwjMck5iom6-t4AaABAg,0,0,"2025-02-20 18:59:08",@lisabedker-madsen6186,"Can you offer some Korean Skin care for the body too? Something that's affordable?",UC_aCh3pdc3BiSpXJB2N6k0g,http://www.youtube.com/@lisabedker-madsen6186,0,,
UgwSP7zVgmyeF5KeHMx4AaABAg,0,0,"2025-02-20 13:58:21",@TheBohemianStyle,"I’m confused. All Korean sunscreen is chemical coverage that absorbs the rays. I’m sensitive to the sun and I need physical coverage. Is Dr. Ellis saying that Korean sunscreen is good for people sensitive to the sun and works better than physical sunscreen?",UCb9BhK6lu32yAzdT40k4J7Q,http://www.youtube.com/@TheBohemianStyle,0,,
Ugx1zw55Y1zFT_ug3Gp4AaABAg,0,0,"2025-02-17 06:58:20",@Lkrouse95379,"Really helpful info to understand K products!",UCU7X2q1yEFC5YQHLYWdR2cA,http://www.youtube.com/@Lkrouse95379,0,,
Ugws1-6ZMFE3AJ3RlO14AaABAg,0,0,"2025-02-16 22:18:38",@designersammie,"web designer + social media manager 🤎",UCITVGf87D_tbNBXhDZYzfiw,http://www.youtube.com/@designersammie,0,,
UgyxBeth0zxyvIopLex4AaABAg,0,2,"2025-02-08 02:51:12",@thebrindle5324,"Thank you, I love your recommendations ❣️ one concern of mine which I can't seem to find an answer to is whether the chemicals in Korean sunscreen are absorbed into the blood stream like they are with conventional chemical sunscreens. Would you have any insights on that? 🙏",UCYD8CuPmd39W2TjovlnUdEw,http://www.youtube.com/@thebrindle5324,0,,
UgyKiXkIl6bUYO1gpTV4AaABAg,0,1,"2025-02-03 22:53:51",@katelouise2594,"I love your Korean skincare products videos. I adore Korean skincare because they are so affordable, often unscented and really help with the glass skin factor. I am also a fan of Prequel and I like all you offer. I’m curious about your viewpoint on body care products, unscented, crepey skin, post baby, keeping elasticity and collagen tips. Do you have internal tips, vitamins, supplements, etc? I enjoy your channel.",UCjOIjL-sZQnANNOuu80MvyQ,http://www.youtube.com/@katelouise2594,0,,
UgzFCXPQRYHBUsB7m6N4AaABAg,0,0,"2025-01-31 10:43:48",@janab1532,"Hi Dr Sam! Can you pleaseeee do a video on Dr Althea 365 relief cream and the Axis Y dark spot correcting serum? I see both all over Instagram as being the best products to treat hyperpigmentation but not sure if it is suitable for my skin. I have VERY oily, sensitive, hormonal acne and eczema prone skin and usually avoid fragrance. Thank you ❤",UCfBw5LgZrHsTiDmVTAVs5pg,http://www.youtube.com/@janab1532,0,,
UgxIWN9E57C8FxTxBrV4AaABAg,0,0,"2025-01-26 15:56:46",@laurastoolmiller1392,"Interested in foundation or tinted sunscreen",UCRKmLKWvH2KRXQllfo9bAfw,http://www.youtube.com/@laurastoolmiller1392,0,,
UgzecsQuG5Y1a6Vc96R4AaABAg,0,0,"2025-01-24 12:32:08",@ruchithareddy3463,"Call all the products works for combination skin?",UCjJITDm0A4dECgxuRro7_6g,http://www.youtube.com/@ruchithareddy3463,0,,
UgyMdsoSDcWYofqPoaZ4AaABAg,0,2,"2025-01-22 16:04:19",@porcupine783,"The Haruharu sunscreen is incredible",UCd6RqezwzuNynrO7QmN7k5g,http://www.youtube.com/@porcupine783,0,,
UgxPbbI8bcbwPFjZb9h4AaABAg,0,0,"2025-01-22 01:57:05",@skateata1,"Im glad you like the vitamin C by nbzn.",UCjVof-s6CenQYOEJCDEa7gw,http://www.youtube.com/@skateata1,0,,
Ugxm-6y5BREruqb0mPx4AaABAg,0,0,"2025-01-19 16:05:45",@tiffanyh4364,"Do you have any thoughts on Sulwhasoo moisturizer? It is crazy expensive… Is it worth it? At 50, I am doing all the things, and I am willing to shell out the money, but only if it is worth it.",UCaLyeln8vxtr5NP4_-wKfIg,http://www.youtube.com/@tiffanyh4364,0,,
