id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugy978_Pn72cldAFIp94AaABAg,0,0,"2025-06-15 22:18:00",@myrameijer,"Always love to see you, Renee. You were the one that got me started on k-beauty even though I was living in Korea already for 10 years!! Looking forward to checking out the Purito line. Thanks! ❤",UCZgicHFSw3M_Cpl70GdTl8w,http://www.youtube.com/@myrameijer,0,,
Ugz6wZv6De3x2vBn6zp4AaABAg,0,0,"2025-06-13 14:43:26",@candiceking7422,"Hi, question: how long does it take to get products from Stylevana to NY State?",UCr76NAPlKwfbe2ufQrsa3sw,http://www.youtube.com/@candiceking7422,0,,
Ugx30oYPBSwnFnnluVh4AaABAg,0,0,"2025-06-12 14:06:45",@melbygrace,"Another great list of lovely products. What is your favorite setting on the medicube? Looking forward to updates on the other device.",UCXo3WCHrAmrNlYuZgrxRbyQ,http://www.youtube.com/@melbygrace,0,,
UgyBdy-ZYcxTBtbkaax4AaABAg,0,2,"2025-06-11 21:18:29",@seductiveblush,"Always look forward to your recommendations. ❤",UC4SIy7yt9cpCSSjJOT9SWYg,http://www.youtube.com/@seductiveblush,0,,
Ugze-OOmQjls1zahVyB4AaABAg,0,0,"2025-06-11 10:40:33",@preciousshortie,"does the purito sunscreen sting the eyes?",UChWFH6_ENz7eV8uYd-SvjMw,http://www.youtube.com/@preciousshortie,0,,
UgxeRK0W6uenQvpJhDN4AaABAg,0,1,"2025-06-08 18:48:58",@parentsgames112,"Those were great recommendations",UC7iavF8uWfZsoA49gn729qA,http://www.youtube.com/@parentsgames112,0,,
UgxwMrPeaVFwY1zhzRR4AaABAg,0,2,"2025-06-07 14:33:05",@giadac.8677,"Thank you Renee. You are a joy to watch ❤",UCbQUzZfyK9MfKzJV6GXQgtw,http://www.youtube.com/@giadac.8677,0,,
Ugz_n2bEMH4IXZF4lXl4AaABAg,0,1,"2025-06-07 13:07:26",@dianeligi7045,"First time viewer-great! Can you tell me if these are considered clean products?",UC3Y1qHddeflJXCthvyn4ocQ,http://www.youtube.com/@dianeligi7045,0,,
UgzpQ5WgQGTyDjPfTWJ4AaABAg,0,1,"2025-06-07 03:31:17",@brooke8567,"What do you recommend for the too tanned sun spots on my chest and shoulders? Thanks",UCY3oEUdHUv2XBopZ56swruw,http://www.youtube.com/@brooke8567,0,,
UgyHpMd7_MzdU7n2iQN4AaABAg,0,0,"2025-06-06 17:44:43",@jinish3649,"Can someone share their thoughts on stylevana's service please?",UCKqJzV9d3aozHHg1gIBK0fA,http://www.youtube.com/@jinish3649,0,,
UgzFHQJ1XuclV1mldux4AaABAg,1,23,"2025-06-06 10:29:37",@forisma,"0:45 purito sunscreen 2:47 haruharu wonder sun screen stick 3:45 rice peel off mask 5:31 miguhara peel off mask 6:45 aplb peptide collagen mist 7:45 aplb bacuchiol serum 8:26 haruharu wonder cleansing oil 9:33 arencia clean ers 11:31 purito moisturizer 12:26 medicube pdrn booster gel HR high focus shot 12:45 ultherapy (mfu) Micro focused ultrasound 14:54 anillo hair essense (oils for length) 16:13 somebymi scalp treatment 17:32 shiseido hair mask",UCrOlmDv2NVMRBV724dO6a7g,http://www.youtube.com/@forisma,0,,
UgzFHQJ1XuclV1mldux4AaABAg.AJ15M3uT2oVAJ4012XFodD,,0,"2025-06-07 13:40:47",@gothamista,"You’re amazing thank you love!",UC-X4BAoKxwGYIKrKfqk7yug,http://www.youtube.com/@gothamista,1,UgzFHQJ1XuclV1mldux4AaABAg,@forisma
