id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugy3AijGbjAtVn0BRmx4AaABAg,0,0,"2025-06-14 16:06:55",@spooky100.,"Can you do a video on how you incorporate the medicube tool in your routine?🙌🏼 I bought it but not gonna lie I am a bit not sure if I am using it the best that I can 😅",UCSaFB_bkYf6TRTzcIfW4EFg,http://www.youtube.com/@spooky100.,0,,
Ugz6uLYkAm0kNxjXOYl4AaABAg,0,0,"2025-06-14 12:57:17",@nonameiiii,"Where can you buy k beauty? If your in the US do you get charged for customs?",UCsxhz4BBkiwPNI4xzdep7gA,http://www.youtube.com/@nonameiiii,0,,
UgxKkhThzoCDU-iOlwV4AaABAg,0,0,"2025-06-12 04:34:15",@sofyahudson,"Can you review Zo Skincare??? Would be so nice to see what you think.",UCL4UjiIHHkpe9BrBzAbOqug,http://www.youtube.com/@sofyahudson,0,,
Ugzfn-SBLved4VKsfPN4AaABAg,0,0,"2025-06-11 13:59:42",@asapvictory16,"I use the toner pad version of the celimax brightening product and they are amazing too!",UCSauiMLbXmLrWXm2UgX5jdQ,http://www.youtube.com/@asapvictory16,0,,
UgxAUAS8_Fgcr7LtolR4AaABAg,0,0,"2025-06-08 20:00:06",@kindzozodoinghaus9956,"But i thought you didn't like products with essential oils?",UCTnUEmFt4dllPzaXvA2_nvg,http://www.youtube.com/@kindzozodoinghaus9956,0,,
UgwNj03r11upooMWx0x4AaABAg,0,0,"2025-06-06 17:42:57",@B3llaLim,"Hi Hyram, how do u alternate the reedle shot and the medicube device? Please help lol i just bought the medicube pro but i also dunno how to incorporate it into my routine cuz i use reedleshot…",UCH39cUmqcWrNepep9feDLTg,http://www.youtube.com/@B3llaLim,0,,
UgxyLj6KxhmLbANohX94AaABAg,0,0,"2025-06-05 22:18:13",@grespinosa,"I tried the Haruharu Wonder sunscreen a few months ago ~ but unfortunately it smelled so rancid I had to get rid of it. I did pick it up from Amazon, perhaps that had something to do with it. 👀🤷🏽‍♀️",UCOIvVsTm7lau2VttlOnFcnA,http://www.youtube.com/@grespinosa,0,,
UgyuRHDKJAU0QDYLSEh4AaABAg,0,0,"2025-06-05 20:11:17",@galhelman8664,"where are u",UC7ZmBoSfwTtm4puXMaGKXDg,http://www.youtube.com/@galhelman8664,0,,
Ugwz7T_Cj2kMaR8Qbjd4AaABAg,0,0,"2025-06-04 23:32:55",@thepurplefruit.,"Did you ever review the boj watery sunscreen",UC8SKgh--OKM1c4m1yjwbbGw,http://www.youtube.com/@thepurplefruit.,0,,
Ugw7-oiXlTaGIiD4csJ4AaABAg,0,0,"2025-06-04 01:19:26",@DejaValerioKing,"Can you do a APLB skincare review please ! 💚💚💚",UC4jba1PEo1mP7g_h2anSxAw,http://www.youtube.com/@DejaValerioKing,0,,
Ugw2tGQz42rJHk9W3RN4AaABAg,0,0,"2025-06-01 06:31:09",@KM-ux1mw,"I just read Catherine’s book and wow you are so shady I remember that review you did of her skin care line you were so negative & nasty. SMH karma now you have fell off",UCWv2EHjmZGEWE2L3uIHtw4w,http://www.youtube.com/@KM-ux1mw,0,,
UgwmL2DHRbeS255X9UF4AaABAg,0,0,"2025-05-31 16:42:57",@MzJones721,"What's the difference between the brightening serum and vitamin c",UC4xqmeM15mnlFr4mMxJCOIw,http://www.youtube.com/@MzJones721,0,,
Ugy8kbQO8-K-ww674WF4AaABAg,0,0,"2025-05-30 15:33:49",@cherylkozak6259,"Can the Celimax brightening serum be used at night as well? I am trying to get away from using concealers under my eyes because I live in Florida and it’s so hot and everything creases. So wondering if the Celimax brightening can be used with my other eye serum or how to fit it in",UCixGqhERaSyAcNYWbXY7Ejg,http://www.youtube.com/@cherylkozak6259,0,,
UgwfbAFOkD9Z59w9hDl4AaABAg,0,0,"2025-05-30 07:36:21",@evaasunny20,"Can u please do a video on back pigmentation due to acne from th past",UCfYrxJ9TlRLWmI7FjHsGrRA,http://www.youtube.com/@evaasunny20,0,,
UgwuhtNL-k5bi-Maw4x4AaABAg,0,0,"2025-05-30 07:33:21",@evaasunny20,"Sunscreen with matte finish for oily skin pls 😭😭😭",UCfYrxJ9TlRLWmI7FjHsGrRA,http://www.youtube.com/@evaasunny20,0,,
UgwKpiCLv496bmvxl354AaABAg,0,0,"2025-05-29 02:59:41",@tobylover8,"Does anyone know if there are any serums not to mix with Prosacea gel? Tried googling it but can’t find anything.",UC2-qv8VoRs6rQvNdbevcMmA,http://www.youtube.com/@tobylover8,0,,
UgyNV8HqJTFPk3avufZ4AaABAg,0,1,"2025-05-28 22:28:08",@3891lisa,"Your facebook page has been hacked and is posting far right scam content",UCPYnbOymt-rnshmSgVgpJlw,http://www.youtube.com/@3891lisa,0,,
UgzM2zBUa0UtRQ14lnl4AaABAg,0,0,"2025-05-28 15:04:50",@MarieSullenger,"It seems like someone may have hacked your FB account. It doesn't seem like your usual content on that platform.",UCpe2suDPmWqw78Cqo7IGyWA,http://www.youtube.com/@MarieSullenger,0,,
Ugy8eTag2PmUHbKCNy14AaABAg,1,4,"2025-05-27 13:05:02",@MommaJ1788,"Hey Hyram, I really hope you are doing ok it looks like your Facebook may have been hacked but also hadn’t seen you on there since 2023 so I’m glad I can still find you here. I need to look up a good skin care routine for my daughter and she likes your videos.",UCEG1-GOTkhMHQB-3Wt56sXA,http://www.youtube.com/@MommaJ1788,0,,
Ugy8eTag2PmUHbKCNy14AaABAg.AIccBhCgjlPAIctcRT0XYY,,0,"2025-05-27 15:37:23",@Neecee615,"I noticed that too, they hacked it for political posts",UC8Ngxm-EJ0YWSvO0OnlDw6w,http://www.youtube.com/@Neecee615,1,Ugy8eTag2PmUHbKCNy14AaABAg,@MommaJ1788
UgwQKsNL680LRUs7-UR4AaABAg,0,1,"2025-05-25 23:03:13",@AnotherOnebyCC,"Has your Facebook page been hacked?",UCtmmV6o3EZQYFFGT07TcHgg,http://www.youtube.com/@AnotherOnebyCC,0,,
Ugx_SViZliFuC76PEwN4AaABAg,0,1,"2025-05-25 09:55:26",@YamiKisara_,"Hyram your FB has been hacked if you haven’t realised!!",UCdzYqs2CLt__pWAFkoVy0Ig,http://www.youtube.com/@YamiKisara_,0,,
UgzZ0hZR0ivaY0xcWwF4AaABAg,1,1,"2025-05-25 04:27:52",@leiaklumper2965,"Hey hyram! Sorry this is not related to your video but I think your Facebook page has been hacked. There’s a lot of spam on there!",UCvJoGKzRELB_wmApoxCjBag,http://www.youtube.com/@leiaklumper2965,0,,
UgzZ0hZR0ivaY0xcWwF4AaABAg.AIXYQ4gHr1vAIkF4vc3rUV,,0,"2025-05-30 12:08:19",@Hellono112,"that’s not true you have the wrong page",UCZd7w9D0b657zovjtj2iINQ,http://www.youtube.com/@Hellono112,1,UgzZ0hZR0ivaY0xcWwF4AaABAg,@leiaklumper2965
UgxxsnTB6WAbxeu0BDB4AaABAg,0,0,"2025-05-24 18:18:16",@T98802,"I love Korean series! Thank you fir the code it worked greatt! I am tryung Beuty of Joseon Relif Sun,",UCe4rk20MWDcS7G5Jh_d641Q,http://www.youtube.com/@T98802,0,,
Ugw3cRJl2T_OGS3XQL94AaABAg,0,0,"2025-05-23 13:13:10",@sdlly6741,"I bought the haruharu cleansing and for the first time in my life i feel so relieved to have found a cleanser thats non stripping. Ill be def trying other of their products! Thanks hyram!",UCPGxfUgTon4MTuteMhTStsg,http://www.youtube.com/@sdlly6741,0,,
