id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgxCjICKAXAo1c4YuIZ4AaABAg,0,0,"2025-06-14 21:31:25",@GrungeGalactica,"I remember buying that biore aqua one years ago cause jackie aina recommend it. At the time an esthetician I watched said alcohol was really bad and that one stank of alcohol back then. I used it once and threw it away! Glad I know better now!",UCVD-qiRwt_Ld3jqpaoXCzPA,http://www.youtube.com/@GrungeGalactica,0,,
UgzfhFVgV811SkB71cV4AaABAg,0,0,"2025-06-14 12:14:13",@nonameiiii,"If you live in the US where is the best place to buy these products? I don't want to get shocked when I'm told I have to pay $100 for customs.",UCsxhz4BBkiwPNI4xzdep7gA,http://www.youtube.com/@nonameiiii,0,,
Ugy0Mk-V4bhIpg0xYEF4AaABAg,0,0,"2025-06-11 11:55:05",@arielpage511,"Do you think we could get an updated video for Korean Moisturizers? I wanted to try the belif aqua bomb from one of your other videos but it was the only one mentioned and a bit pricey, I would love to see more options <3",UCuN64TcDx9NwJYuERyMOYAA,http://www.youtube.com/@arielpage511,0,,
Ugw_L1EAbim-SCYwCER4AaABAg,0,0,"2025-06-10 17:30:50",@jayelyyn,"I really wish some of the best sunscreens were more affordable. I tried out the beet the sun one recently (it’s lovely), but the bottle is so small for $20 and I would go through this SO quickly if I’m really applying it for proper protection. I understand the prices, really, but it’s still a bit frustrating. I’m usually pretty happy w my life but the skincare is when I wish I were richer. lmao",UCctozQlnFITeLVltysYuopQ,http://www.youtube.com/@jayelyyn,0,,
Ugz3yTngrXQUEiMfBlN4AaABAg,0,0,"2025-06-10 16:35:19",@AfiyaMatthews,"I've been deeply enjoying Skin1004 Centella sunscreen and the reapplication stick! So easy, no irritation!!! My husband loves the TirTir one!!!",UCAeO_yoxpkugiKdG9r_drCA,http://www.youtube.com/@AfiyaMatthews,0,,
Ugycr2_cvbs-lgl6OD14AaABAg,0,0,"2025-06-10 03:06:36",@originofsky,"i actually got into super good because you talked about it last year, just not sure with video! i LOVE the very silky feeling, and i think it does help somewhat for keeping me matte , and free of oil!!",UCvAYquLga8fzyCdBbjPqWXA,http://www.youtube.com/@originofsky,0,,
UgzMSLKXz_OPa0NwMpB4AaABAg,0,0,"2025-06-09 22:51:59",@thecoolkid775,"I'm a long term lover of the BoJ suncream - I've just ordered the water one and I'm excited to use it on my holiday this year :) Do you have and body suncream recommendations? I use my facial suncream on my face neck, back of hands and my tattoos but dont really hear much about nicer options for this!",UCYO6IY4yfEspRZtkc6Fg5JA,http://www.youtube.com/@thecoolkid775,0,,
Ugx6dnH4-W-7hFD2flZ4AaABAg,0,0,"2025-06-09 13:33:02",@The_Noisy_Ninja,"Unfortunately, the purito one pilled really badly for me! I loved literally everything else about it, so it made me so sad 😢 I'm using BringGreen right now, and so far it's been great!",UC-j7ENDpcknPZhVAP_VkkPA,http://www.youtube.com/@The_Noisy_Ninja,0,,
UgxgA9bomREQVPwPkll4AaABAg,0,0,"2025-06-08 21:57:32",@ClaudiaG-x7i,"The Bioré Watery Essence is my GOAT to use under make-up as a 43-year old woman with sensitive combo-oily skin living in Portugal. I have been trying Korean sunscreens I am really enjoying and the La Roche-Posay UVAir is great too, but the Bioré is just perfect under make-up.",UC7A4YA-ZgN4Wyg4mhvNpAAw,http://www.youtube.com/@ClaudiaG-x7i,0,,
UgxwNk87MNkgregGDIN4AaABAg,0,0,"2025-06-08 21:48:46",@ClaudiaG-x7i,"Why was this video kept away from my feed for 4 days?!",UC7A4YA-ZgN4Wyg4mhvNpAAw,http://www.youtube.com/@ClaudiaG-x7i,0,,
