id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgxkRjWDcGz2n6Skh5d4AaABAg,0,0,"2025-06-09 07:07:05",@ninajoyisnotoptional7760,"APLB - AHA BHA PHA Centella Ampoule Serum Would love to get this one, but the link is not working! Any help appeciated!",UC3-y6N-gGQB08U4yf8skbzw,http://www.youtube.com/@ninajoyisnotoptional7760,0,,
UgxRI7q9YGXD3pxMehF4AaABAg,0,2,"2025-06-06 07:34:18",@mindriot,"i love the skin1004 cleanser but my favorite is the dokdo cleanser from round lab!!!!!",UCW03MT8zzX_4LCKD5W3kK7A,http://www.youtube.com/@mindriot,0,,
UgxW-lBZ_HQmtE6jy914AaABAg,0,0,"2025-05-27 15:51:50",@jadeyeeet2561,"What retinol should I use? 🤔",UC5nGoip3ljcYKwSNptGFlkQ,http://www.youtube.com/@jadeyeeet2561,0,,
UgyOiEU-d7J4-iSKJSB4AaABAg,0,1,"2025-05-16 23:00:34",@sarahfox3312,"A country who monopolises and supports an industry to excellence is a very intelligent country….",UCNAXi0FAgRS6RWdrgA8frog,http://www.youtube.com/@sarahfox3312,0,,
Ugz74sVlq3KRmnSYrxR4AaABAg,0,0,"2025-05-16 12:42:01",@addiedesmarais1344,"Should I still place an order from Stylevana at this time with everything going on with the tariffs??",UCR-AJsxGhOgyRZGZH-jCaxg,http://www.youtube.com/@addiedesmarais1344,0,,
UgyYcCMskjGfeFlaONt4AaABAg,0,0,"2025-05-12 18:39:30",@NatoriaGoob,"Thoughts on mad hippie?",UCQX9nRne0ko0EZ43QSWIwLg,http://www.youtube.com/@NatoriaGoob,0,,
Ugx0oQyV1tL-9Mirhdp4AaABAg,0,0,"2025-05-12 15:18:33",@racheleelliott1503,"Can you please review the typology!!! Makeup",UCzhp3BE5fbvFq0aqIAD3dzg,http://www.youtube.com/@racheleelliott1503,0,,
Ugw6YnExiicej6zH8HR4AaABAg,0,0,"2025-05-07 23:20:33",@janicewright8139,"How do I use an exfoliant with Tretinoin routine?",UCJ77daXLsMLqrYZsmqP-Emg,http://www.youtube.com/@janicewright8139,0,,
UgwMckLqqVoyFvPy90d4AaABAg,0,0,"2025-05-04 00:50:52",@Fr0ntMan-007-0,"I always use your Code 🙂‍↔️",UCH8uiO-seVvN29iAshP_hgw,http://www.youtube.com/@Fr0ntMan-007-0,0,,
UgzL9zELxijZnZK4Zr14AaABAg,0,0,"2025-04-29 02:30:46",@alyalina9486,"Hyram please make a video about led mask therapy",UCWJzsYKeratzBlPHMNNLz3Q,http://www.youtube.com/@alyalina9486,0,,
UgxJiDO2vMnZbHGFJdR4AaABAg,0,0,"2025-04-28 14:42:45",@tanyakalraa3620,"Can u pls tell how to clear the tiny bumps which are the same color as our skin for dry sensitive skin",UCu_XAfHXWWSX5r0k4Y5BLZQ,http://www.youtube.com/@tanyakalraa3620,0,,
UgwPft8i1LhQxl1OxkJ4AaABAg,0,0,"2025-04-28 06:16:30",@ness4261,"Your eyes are so captivating. 🩵🩵🩵",UCeKYZC2V-lo7dsGzHP6di9g,http://www.youtube.com/@ness4261,0,,
Ugxj_inTGEw2am3rWNV4AaABAg,0,0,"2025-04-27 12:55:22",@caralinesinclair4371,"Thisbis where i buy my korean stuff",UCXj5t6SjNP3uV9NRnToA02w,http://www.youtube.com/@caralinesinclair4371,0,,
UgxFv943N0_4uxx9EqN4AaABAg,0,1,"2025-04-26 19:40:48",@LadyPflanzelot,"Hyram, how do we feel about powdered sunscreen? I love it as setting powder and to touch up on sunscreen during the day. If it sucks, please give us some tips on how to maintain a sufficient layer of sunscreen during the day, especially for all the people wearing make up.",UCt3yFArcGg-S0pHjTambaeA,http://www.youtube.com/@LadyPflanzelot,0,,
UgwQO-tTDsIUZMKRkUZ4AaABAg,0,0,"2025-04-25 18:19:07",@marielflores3429,"@Hyrum do you still recommend the rovectin lotus water cream?",UCD0tNYkEG4Q5FgK1iaHsfjw,http://www.youtube.com/@marielflores3429,0,,
UgyGxMag6n7k47kzP0l4AaABAg,0,0,"2025-04-24 20:23:32",@sydneyshepard3752,"More of these please!!!😅",UChMh7PFRYcb2dvie3bsccwQ,http://www.youtube.com/@sydneyshepard3752,0,,
UgzCKMYMTtFUWescHsF4AaABAg,0,1,"2025-04-24 14:31:40",@aprilEsmith,"This was great, thank you Hyram!",UCEy-arMdDn6Wl_N3FXcHfLQ,http://www.youtube.com/@aprilEsmith,0,,
Ugy0mRf8KujIRY9Zcy14AaABAg,0,0,"2025-04-24 13:24:17",@jz1zme,"Bravo 👏🏼",UCA07h85KozKrS4ZPQ58R8rg,http://www.youtube.com/@jz1zme,0,,
UgzYEeSVogPT5J3uXcV4AaABAg,0,1,"2025-04-24 04:59:50",@demi-eliseransome9425,"I absolutely love skin 1004 ! Ive noticed a massive difference in my skin since using it !",UCU2Gti7FLboKlJzFXdQ52_Q,http://www.youtube.com/@demi-eliseransome9425,0,,
Ugw4ZDifDdRwlgkUoNd4AaABAg,0,31,"2025-04-23 21:20:50",@mnmmnm925,"1:59 sunscreen for darker skin 3:55 daytime serum 5:30 lightweight moisturizer 7:04 nighttime serum 9:22 nighttime serum for hyperpigmentation 10:31 moisturizer 12:14 cleanser for face 14:00 cleanser for body",UCREAf8bKAmv1fQgZ0OIqZDw,http://www.youtube.com/@mnmmnm925,0,,
UgzTdeE9ujJi-ZdaNGJ4AaABAg,0,1,"2025-04-23 19:52:04",@CaptainxxHowdy,"That coupon code is a life saver. Did a haul and it took $113.12 off of my order!",UCMx_-EZ5mn4a44gh8n2qGHw,http://www.youtube.com/@CaptainxxHowdy,0,,
UgwFCSsVv5_siON_ZgJ4AaABAg,0,0,"2025-04-23 12:37:59",@doravaxevanopoulou4211,"Best face wash was Selfless Hyram, i cant get it though here anymore😢",UCULgXVN3OgLCOqCCAaBJZmg,http://www.youtube.com/@doravaxevanopoulou4211,0,,
Ugyt-UMKhKzyV1GFc4F4AaABAg,0,2,"2025-04-23 08:43:10",@Khyo1110,"OMG I seriously LOVE APLB!! 😍 Their prices are insanely affordable. I still can’t get over how a Korean brand can be this good and still so cheap! And the quality? Top tier!! I’ve been using the glutathione line and my skin has been loving it 💖 but now I’m sooo excited to try the AHA BHA PHA line next!! 🙌✨ Thank you for your video!! 💕 It totally convinced me!",UCYtEjtFkuqo11HXzn_PqDew,http://www.youtube.com/@Khyo1110,0,,
UgzqlnxsIbA-9AKKB1h4AaABAg,0,0,"2025-04-21 11:41:37",@lalunaabulencia,"Are they also pregnancy safe products? Or can you also do next korean or not pregnancy safe skin care products.",UCV-2pHPOrDDQ8rQJmutAygw,http://www.youtube.com/@lalunaabulencia,0,,
UgzJGZRnJ4Yjgmw2Wv54AaABAg,0,0,"2025-04-21 03:41:59",@jenna_22,"Does anyone else have trouble checking out on stylvanna?!? 😫",UCKmBaR1OnxDHABWlBTEcRQg,http://www.youtube.com/@jenna_22,0,,
Ugx581sKV54HMn8nsf94AaABAg,1,0,"2025-04-20 22:12:30",@veve8759,"can someone confirm because i’ve seen reviews on the website of people saying they never got their order but i need to restock 😅",UCWsG967ql_is1yBoTqrScsg,http://www.youtube.com/@veve8759,0,,
