id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgzafXmuAwwdRgB5f6p4AaABAg,0,0,"2025-06-09 15:36:44",@brittanyreese262,"Thank you for all you do! Your videos have been helping me for actual years. Can you please do a video for the girlies struggling with hyperpigmentation? Everything is about redness. Many of us aren’t red- we have sun damage 😂",UC3Uq1bXQROQQPWTAp1cT8Vg,http://www.youtube.com/@brittanyreese262,0,,
UgxSb1nWTKv-2ZIbEX94AaABAg,0,1,"2025-06-09 15:36:26",@brittanyreese262,"Thank you for all you do! Your videos have been helping me for actual years. Can you please do a video for the girlies struggling with hyperpigmentation? Everything is about redness. Many of us aren’t red- we have sun damage 😂",UC3Uq1bXQROQQPWTAp1cT8Vg,http://www.youtube.com/@brittanyreese262,0,,
UgyAj22wJ2oiPHyHoZh4AaABAg,0,0,"2025-06-07 20:41:41",@cerykheav5043,"Just commenting here (5 months later) and was wondering if anyone else is having problems reaching Stylevana or getting their package. I watched this video and wanted to support Hyram by placing an order and using his code, but 5 months later, still no package or response from Stylevana. P.S- Not putting any blame on Hyram, just curious if anyone else has been successful/unsuccessful with getting their Stylvana order. Thanks! <3",UCCwCPfznpHe3RuJ2iH9qpvg,http://www.youtube.com/@cerykheav5043,0,,
UgzFKDmIFaIT6ZBYBa54AaABAg,0,0,"2025-06-01 14:41:37",@joylewullis9538,"Is the aestura cream good for dry, dehydrated skin? I’ll try anything that’ll help with that",UCgKUjPWJYgHcsmsS5tElf0w,http://www.youtube.com/@joylewullis9538,0,,
UgyVraHJsE4tHAJKqKJ4AaABAg,0,0,"2025-05-16 03:46:59",@1971gc,"Is ordering these products from Amazon the same as ordering from the Stylevana website?",UCvFZTuO7SXOx6OwdJuKO9-A,http://www.youtube.com/@1971gc,0,,
UgwS3SBv5ikDCtgXRgt4AaABAg,0,0,"2025-05-16 02:30:20",@1971gc,"Just discovered you by shopping for Korean face products for men. What do you suggest for large pores, cleanser, pigmentation and acne?",UCvFZTuO7SXOx6OwdJuKO9-A,http://www.youtube.com/@1971gc,0,,
Ugy3z0JMthbvzuXosGt4AaABAg,0,0,"2025-04-30 17:18:10",@brandonf2054,"PLEEEEEASE review Trader Joe's skincare line I need to know if it's worth for me to keep buying 😭 I know hawaii doesn't have trader joe's I will literally send you their entire line to review if needed (half joke)",UCDMIiW-Wb5WAZCPr6RaRgAg,http://www.youtube.com/@brandonf2054,0,,
UgxCXTDby7-joyNevGR4AaABAg,0,1,"2025-04-25 22:15:38",@saraspillan7627,"Can you do a video on nighttime Korean skincare routines?",UCQECKXrPR7XaMYgZOLXc0GA,http://www.youtube.com/@saraspillan7627,0,,
UgyTw38HwoalUaeEvaJ4AaABAg,0,0,"2025-04-23 23:57:49",@AmnaIdrees_Uk,"@hyram kindly suggest korean products for acne prone skin",UCCjQ-Tj7W8ghJ9DUGWjY2ag,http://www.youtube.com/@AmnaIdrees_Uk,0,,
UgytvHAbKP_qBgkENmB4AaABAg,0,0,"2025-04-11 17:01:12",@hannahmckay5780,"Who tried the seoul cream retinal please?",UCTA1y0PGNdw_iVWZiqIU36Q,http://www.youtube.com/@hannahmckay5780,0,,
