id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgzXqeOfokrgCrHODKR4AaABAg,0,0,"2025-06-03 04:58:14",@SreyNutNoch,"I luv ur content so much 🫶🏻🥹",UC4bWvp0-IOoB7gaN0Oj0W4g,http://www.youtube.com/@SreyNutNoch,0,,
UgxAnSbjlTisVWwsZ6Z4AaABAg,0,0,"2025-06-01 04:28:35",@t.a1111,"You'd should try carrot carotene daily sheet masks, I loveee it way more than the toner pads!!! Just SOOO GOOOD !",UCp4ojfhG-doUPcB6I5_iDVQ,http://www.youtube.com/@t.a1111,0,,
UgzbwIPba7unRqTH3Pt4AaABAg,0,3,"2025-05-24 18:08:29",@daisyspanhakbon1364,"I had to watch this again without reading the comments first...sorry girl🥴 Loved, loved, LOVED this!!!! Thanks🎉🎉🎉 Omg, that overnight mask!!!!❤❤❤❤",UC3DARczAn1RYxyA_jmI_zpw,http://www.youtube.com/@daisyspanhakbon1364,0,,
UgxXqwgxJAso7XPYt1h4AaABAg,0,0,"2025-05-17 20:28:58",@dieuestennous11,"the hands giving man",UCkw2m9eg9nkItqW9jPnS_Og,http://www.youtube.com/@dieuestennous11,0,,
UgxmurFYK6GOE3CWFcJ4AaABAg,0,1,"2025-05-17 02:41:18",@diddydarn,"Omg I've been following you two since I was 14, I'm 21 now and it's so awesome to see how you and Row have changed and how the channel has evolved. Love you guys !! 💖",UCgS7m_zmjTMMRBYpjXGPDTA,http://www.youtube.com/@diddydarn,0,,
UgxjLFCWU2cAFWp1Urp4AaABAg,0,1,"2025-05-15 02:19:35",@1709박시연,"Thank you for your honest review of the best K-beauty skincare products of 2024! I think the detailed explanation and honest review made it easier to choose the right product for my skin!",UCUe54txMbEYCOG6C9j9qHjg,http://www.youtube.com/@1709%EB%B0%95%EC%8B%9C%EC%97%B0,0,,
UgyFQHQvrU4VOALiNQd4AaABAg,1,1,"2025-04-24 05:03:51",@jm85811,"Cleansing wipes are so bad for the environment. Just use a cleanser or makeup removing cream instead.",UCtEEh1HNJVrfyu805gBDXog,http://www.youtube.com/@jm85811,0,,
UgyFQHQvrU4VOALiNQd4AaABAg.AHHmtTEj0NCAHaPS3c6BDj,,0,"2025-05-01 19:55:04",@Novarcais,Fr,UCsalDI4NQ823U4YvYDAzayA,http://www.youtube.com/@Novarcais,1,UgyFQHQvrU4VOALiNQd4AaABAg,@jm85811
UgwK9vHr7BA_jD20L7V4AaABAg,0,1,"2025-04-19 15:53:01",@mrs.wheatly7612,"I ❤❤❤ HaruHaru line is my favorite 😊",UCB8sfGE-uvDG_D1x_dmG6LQ,http://www.youtube.com/@mrs.wheatly7612,0,,
Ugy7GQvfn_oyfHOHts94AaABAg,0,0,"2025-04-06 20:39:55",@staycompassionate3811,"I Love a great Serum",UCM-LPL1dnV2XkOn9UZpv9hg,http://www.youtube.com/@staycompassionate3811,0,,
Ugz2-GDVCbkUY56516d4AaABAg,0,0,"2025-03-25 06:41:31",@amak03,"Can someone tell me her skin type/the video is for which skin type,???😢😊",UCfeiHOuLE6Cc4WGnbkRtGHw,http://www.youtube.com/@amak03,0,,
Ugzhzn1_ZLLEhYPeisZ4AaABAg,0,0,"2025-03-24 07:04:15",@yenylei9724,"I forgot what was your skin type? Was it oily sensitive?",UCZ87lXKMmwc6_BQ9n3E_0CA,http://www.youtube.com/@yenylei9724,0,,
UgwrzN2vgescEI-WOkF4AaABAg,0,0,"2025-03-11 12:38:44",@dt21star,"how does the haruharu barrier essence compare to the Rhode glazing milk (if you have tried it) are they similar?/which is thicker?",UCKNYjhzbwAiECQEbLlxFhRg,http://www.youtube.com/@dt21star,0,,
Ugz5jRN4WNQ0pXX8L5J4AaABAg,0,0,"2025-03-09 14:23:28",@naylamicherif2965,"Hello from Brazil. I really Like yours videos. If possible,could you please explain someday how do use medicube age booster pro, the fistr step until the last with the correct products for each program? I’ll really appreciate it. Thank you so much. 😊",UCaQ-VP35k-5az5nGCYoZYSg,http://www.youtube.com/@naylamicherif2965,0,,
UgzNCwLG9a400xPMJK14AaABAg,0,0,"2025-03-04 15:01:14",@simplyme8593,"Hello Felicia! 😊 I really wanna try the Numbuzin sunscreen but my only concern is one ingredient it contains which is velvet deer extract. I've read some very negative things about it 🤔 Could you please make a video talking about this ingredient? ❤",UCQDYlkrktH0zgGW2zgYeCHA,http://www.youtube.com/@simplyme8593,0,,
Ugy9SIck6UOJ7_oeeF14AaABAg,0,0,"2025-03-01 18:03:16",@zhyarenas755,"Who else knows mommy pig is having a baby, (LICH THIS HAS NOTHING TO DO WITH THIS DON’T JUDGE!!)",UCRk8SmtsdKyvJfbYl_Xh9Zw,http://www.youtube.com/@zhyarenas755,0,,
UgzhXoqzZmME0jTxRgl4AaABAg,0,0,"2025-02-26 01:47:31",@citiZen_nie,"I love HaruHaru. one of the brands i repurchase all the time. and thanks to this channel. i started using their toner since they first introduced",UCVGHoFhTXb-fxTYNMjVVq-A,http://www.youtube.com/@citiZen_nie,0,,
UgyoEO1opDB8mwFbWeZ4AaABAg,0,0,"2025-02-25 05:22:25",@123deedot,"Thanks for this great video. What does the onion fresh sunscreen smell like?",UCE1eGWoGAbG7AUBvKQvRRWQ,http://www.youtube.com/@123deedot,0,,
UgwKG85YqGwgkKAq6k54AaABAg,0,0,"2025-02-24 03:27:04",@earthfav,"hey what do you recomend for clossed comedos ?",UCuU8K2vwNaItG9EdY-N1B4Q,http://www.youtube.com/@earthfav,0,,
