id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgwYVZMerpA8k6zA0KJ4AaABAg,0,1,"2025-05-14 07:21:07",@hannahnicolepaul7736,"Sounds pretty biased to me. Other than the glass skin trend, I don’t hear of anyone in America wanting to look Korean. It really depends on the nationality/ where you live.",UC40AtoBd7smpjiMDVXqV2Xg,http://www.youtube.com/@hannahnicolepaul7736,0,,
Ugz-8-dzK9vZos3upjZ4AaABAg,0,0,"2025-05-10 06:27:28",@ILoveGrilledCheese,"Anyone who says Korean women aren’t the most attractive are delusional. From a male perspective they are high tier.",UCqg0b-8ZZx-sEP5SIfgh6HA,http://www.youtube.com/@ILoveGrilledCheese,0,,
Ugw9chuaxfzul8Rw5oZ4AaABAg,0,0,"2025-04-14 00:00:48",@JungleWizard7,"They aren't. They look sick and constructed. The plastic surgeries They do from teen hood to adulthood is terrifying fake eyes noses and it's normal. They look like replicated corpse dolls. It's sad and terrifying they are ashamed of what their natural culture and their looks",UCsX_G_xwPxiAOQY_0rU-kFw,http://www.youtube.com/@JungleWizard7,0,,
UgwtnWaTeWnjwGpmv3V4AaABAg,0,0,"2025-03-23 05:48:56",@rxlxviii,"Korean women want to stay under 110 pounds and stay out of the sun. If they don't do this, their skin care routine, what they eat, etc. all don't matter. It's a scientific fact that the less you eat, te slower you age.",UC87Yjc0MKYk4Nuhw4m-ohxg,http://www.youtube.com/@rxlxviii,0,,
UgxUvDuYboeeeKfjlkd4AaABAg,0,0,"2025-03-23 05:28:19",@rxlxviii,"Koreans aren't sun worshippers and they make sure they aren't overweight. That's it. That keeps you looking young. i am close to 60 and people still think i am in my 20s or 30s even with my grey hairs. Everything else is bs. I eat a lot of junk food and fast food and I don't really care about what I eat. I just make sure I don't gain weight.",UC87Yjc0MKYk4Nuhw4m-ohxg,http://www.youtube.com/@rxlxviii,0,,
UgxBwuzEjsu7orSa5wp4AaABAg,0,0,"2025-03-03 02:54:54",@eurekalass,"I love the Korean single eyelids. Every time! To me they look so much better than the surgically made double eyelids. They should be proud of their eastern eyes and not try to look western at all.",UCwTuxlNXX-ARPVdcJbDKp0g,http://www.youtube.com/@eurekalass,0,,
Ugw0bzfOzCc0YfwaTBF4AaABAg,0,0,"2025-02-27 15:00:56",@RyaThoughts,"But with toning pads it sounds like sheet mask and face wipes combo",UCtilefkLCdkFnXdxRkJWJOw,http://www.youtube.com/@RyaThoughts,0,,
UgwQSnuL7HxEr7i2mol4AaABAg,0,1,"2025-01-31 18:26:54",@marie-chr6126,"In South Korea they begin as teen to get surgeries for eyes for nose etc so it is really disappointing to read your title bc it is also a question of costs and surgeries not all are so nice as you tell In Seoul a treatment costs much less as in Europe or the USA and none condemns someone to make treatment but it is often not the case in Europe or the USA",UC7AxkCHPy4lnfAPUunMS6qA,http://www.youtube.com/@marie-chr6126,0,,
UgzQCJckr1jQgNXA5eJ4AaABAg,0,0,"2025-01-30 10:22:47",@sab4793,"Japanese as well have good skin and genes. Its the food they eat. I disagree with men wearing makeup though 😂 Any man im dating that wears makeup im leaving! Thats weird to me and def not masculine.",UCr1CTAg3pPOoqEPdih4a3rg,http://www.youtube.com/@sab4793,0,,
UgwMiPoufUf9Es1vH-x4AaABAg,0,1,"2025-01-06 15:16:07",@lamilanesesenzafreniingiappone,"I live in Japan and I am appalled that you , maybe for ignorance, never mention Japanese skincare, their use of fermented natural ingredients in it and their skin and beauty culture. You don't mention their healthy food habits or their Onsen culture. So disappointing. It's yet another boring video on Korea that we really didn't need, as this keeps sending the wrong message that korean beauty standards are perfectly healthy...😅",UCw009RishSvDXScAceefEDA,http://www.youtube.com/@lamilanesesenzafreniingiappone,0,,
